person_age,person_gender,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,credit_score,previous_loan_defaults_on_file,loan_status
22.0,female,71948.0,0,RENT,35000.0,PERSONAL,16.02,0.49,561,No,1
21.0,female,12282.0,0,OWN,1000.0,EDUCATION,11.14,0.08,504,Yes,0
25.0,female,12438.0,3,MORTGAGE,5500.0,MEDICAL,12.87,0.44,635,No,1
23.0,female,79753.0,0,RENT,35000.0,MEDICAL,15.23,0.44,675,No,1
24.0,male,66135.0,1,RENT,35000.0,MEDICAL,14.27,0.53,586,No,1
21.0,female,12951.0,0,OWN,2500.0,VENTURE,7.14,0.19,532,No,1
26.0,female,93471.0,1,RENT,35000.0,EDUCATION,12.42,0.37,701,No,1
24.0,female,95550.0,5,RENT,35000.0,MEDICAL,11.11,0.37,585,No,1
24.0,female,100684.0,3,RENT,35000.0,PERSONAL,8.9,0.35,544,No,1
21.0,female,12739.0,0,OWN,1600.0,VENTURE,14.74,0.13,640,No,1
22.0,female,102985.0,0,RENT,35000.0,VENTURE,10.37,0.34,621,No,1
21.0,female,13113.0,0,OWN,4500.0,HOMEIMPROVEMENT,8.63,0.34,651,No,1
23.0,male,114860.0,3,RENT,35000.0,VENTURE,7.9,0.3,573,No,1
26.0,male,130713.0,0,RENT,35000.0,EDUCATION,18.39,0.27,708,No,1
23.0,female,138998.0,0,RENT,35000.0,EDUCATION,7.9,0.25,583,No,0
23.0,female,600891.0,5,MORTGAGE,30000.0,DEBTCONSOLIDATION,10.65,0.05,670,Yes,0
23.0,male,144943.0,0,RENT,35000.0,EDUCATION,7.9,0.24,663,No,0
23.0,female,111369.0,0,RENT,35000.0,MEDICAL,20.0,0.31,694,No,1
23.0,male,136628.0,0,RENT,35000.0,DEBTCONSOLIDATION,18.25,0.26,709,No,1
24.0,female,14283.0,1,MORTGAGE,1750.0,EDUCATION,10.99,0.12,679,No,1
25.0,male,195718.0,0,RENT,35000.0,VENTURE,7.49,0.18,684,Yes,0
25.0,male,165792.0,4,RENT,34800.0,PERSONAL,16.77,0.21,662,No,0
22.0,female,79255.0,0,RENT,34000.0,EDUCATION,17.58,0.43,691,No,1
24.0,female,13866.0,0,OWN,1500.0,PERSONAL,7.29,0.11,600,Yes,0
22.0,male,97420.0,1,RENT,33950.0,PERSONAL,14.54,0.35,691,No,1
24.0,female,82443.0,0,RENT,33000.0,HOMEIMPROVEMENT,12.68,0.4,654,No,1
21.0,female,14288.0,0,MORTGAGE,4575.0,VENTURE,17.74,0.32,626,No,1
23.0,male,14293.0,0,OWN,1400.0,PERSONAL,9.32,0.1,607,No,0
24.0,female,79054.0,1,RENT,32500.0,HOMEIMPROVEMENT,9.99,0.41,700,No,1
21.0,female,14988.0,0,OTHER,4000.0,EDUCATION,12.84,0.27,553,No,1
21.0,male,14858.0,0,OWN,2000.0,MEDICAL,11.12,0.13,589,No,1
25.0,male,144855.0,1,RENT,32000.0,VENTURE,6.62,0.22,586,Yes,0
26.0,male,114645.0,2,RENT,31050.0,HOMEIMPROVEMENT,14.17,0.27,681,No,1
25.0,female,368115.0,3,RENT,24250.0,DEBTCONSOLIDATION,13.85,0.07,567,Yes,0
26.0,female,361076.0,1,MORTGAGE,7800.0,MEDICAL,13.49,0.02,669,No,0
21.0,male,15150.0,0,OWN,2500.0,EDUCATION,7.51,0.17,600,No,1
22.0,female,58868.0,0,RENT,30000.0,EDUCATION,18.39,0.51,606,No,1
24.0,male,78026.0,3,RENT,30000.0,DEBTCONSOLIDATION,14.54,0.38,582,No,1
25.0,male,90785.0,4,RENT,30000.0,HOMEIMPROVEMENT,16.89,0.33,649,No,1
23.0,female,86811.0,0,RENT,30000.0,DEBTCONSOLIDATION,11.01,0.35,602,No,1
26.0,male,75503.0,5,RENT,30000.0,MEDICAL,17.99,0.4,616,No,1
24.0,female,15082.0,0,OWN,2500.0,VENTURE,12.69,0.17,631,No,1
26.0,male,361293.0,5,MORTGAGE,20000.0,VENTURE,7.88,0.06,684,Yes,0
23.0,male,361547.0,0,OWN,24250.0,EDUCATION,19.41,0.07,637,Yes,0
26.0,male,360680.0,5,OWN,10000.0,HOMEIMPROVEMENT,10.38,0.03,649,No,0
26.0,male,360977.0,5,MORTGAGE,25000.0,EDUCATION,15.33,0.07,695,Yes,0
25.0,female,361244.0,2,MORTGAGE,18000.0,HOMEIMPROVEMENT,16.45,0.05,620,No,0
26.0,male,98230.0,2,RENT,30000.0,PERSONAL,7.49,0.31,622,No,1
22.0,female,80838.0,0,RENT,30000.0,MEDICAL,12.69,0.37,645,No,1
26.0,male,107957.0,2,RENT,30000.0,DEBTCONSOLIDATION,6.62,0.28,654,No,1
24.0,female,94649.0,2,RENT,30000.0,DEBTCONSOLIDATION,11.01,0.32,624,No,1
23.0,male,94550.0,1,RENT,30000.0,DEBTCONSOLIDATION,18.62,0.32,570,No,1
23.0,male,111153.0,3,RENT,30000.0,PERSONAL,15.23,0.27,648,No,1
23.0,female,117250.0,0,RENT,30000.0,VENTURE,10.65,0.26,652,No,1
25.0,male,144985.0,3,RENT,30000.0,EDUCATION,7.9,0.21,559,No,0
26.0,male,337133.0,7,RENT,10000.0,PERSONAL,15.96,0.03,623,Yes,0
26.0,male,333566.0,2,RENT,20000.0,VENTURE,11.48,0.06,602,Yes,0
23.0,male,333399.0,1,OWN,35000.0,PERSONAL,11.01,0.1,609,No,0
25.0,male,154793.0,1,RENT,30000.0,PERSONAL,7.29,0.19,573,Yes,0
24.0,male,15229.0,1,OWN,1750.0,VENTURE,11.01,0.11,631,Yes,0
21.0,female,158338.0,0,RENT,30000.0,VENTURE,5.99,0.19,623,Yes,0
22.0,female,331034.0,0,OWN,12000.0,VENTURE,11.58,0.04,602,Yes,0
26.0,female,316466.0,6,MORTGAGE,10000.0,EDUCATION,11.01,0.03,579,No,1
25.0,female,267671.0,0,MORTGAGE,25000.0,MEDICAL,15.7,0.09,582,No,1
22.0,male,85191.0,0,RENT,29100.0,EDUCATION,15.99,0.34,700,No,1
22.0,male,15013.0,0,MORTGAGE,1500.0,EDUCATION,14.84,0.1,688,No,0
26.0,male,313100.0,3,OWN,28000.0,HOMEIMPROVEMENT,10.99,0.09,607,Yes,0
25.0,female,311952.0,0,MORTGAGE,20000.0,HOMEIMPROVEMENT,14.42,0.06,661,Yes,0
24.0,male,306897.0,5,MORTGAGE,9600.0,EDUCATION,6.99,0.03,562,Yes,0
25.0,female,301136.0,0,RENT,25000.0,MEDICAL,13.49,0.08,664,Yes,0
25.0,male,15162.0,1,OWN,3000.0,MEDICAL,11.01,0.2,564,No,1
22.0,male,69042.0,0,RENT,28000.0,MEDICAL,11.01,0.41,598,No,1
21.0,female,15307.0,0,OWN,3000.0,EDUCATION,13.61,0.2,557,No,1
23.0,female,79183.0,0,RENT,28000.0,EDUCATION,7.9,0.35,677,No,1
26.0,male,102654.0,4,RENT,28000.0,VENTURE,7.49,0.27,690,No,1
26.0,male,15229.0,1,OWN,6100.0,EDUCATION,7.51,0.4,599,No,1
